codigo,nombre,categoria,estado,municipio,altitud,longitud,latitud,fecha_instalacion,fecha_suspension
35190010,CINTAS LAS [35190010],Pluviográfica,Activa,Sogamoso,3400,-72.86766667,5.614138889,1971-02-15,
23110040,TRIQUE EL [23110040],Pluviométrica,Activa,Puerto Boyacá,179,-74.56834167,5.880888889,1974-08-15,
23125010,MUZO  [23125010],Climatológica Ordinaria,Suspendida,Muzo,824,-74.13333333,5.533333333,1936-01-15,
24030100,TERMOPAIPA  [24030100],Pluviométrica,Suspendida,Paipa,2580,-73.15,5.766666667,1955-11-15,
23120110,BRICENO  [23120110],Pluviométrica,Suspendida,Briceño,1500,-73.95,5.7,1960-05-15,
24015060,FABRICA TEXTIL  [24015060],Climatológica Ordinaria,Suspendida,Samacá,2660,-73.55,5.466666667,1933-05-15,
24035070,GUICAN [24035070],Climatológica Ordinaria,Activa,Guicán,2963,-72.40919444,6.463472222,1991-08-15,
24030460,GUACHATA  [24030460],Pluviográfica,Suspendida,Tota,3250,-73.0,5.55,1964-10-15,
2403500363,ESTACIÓN VEREDA AGUA BLANCA - AUT [2403500363],Climatológica Ordinaria,Activa,Tuta,2553,-73.222186389,5.670377222,2016-10-09,
24010120,REPRESA  [24010120],Pluviométrica,Suspendida,Samacá,3400,-73.55,5.45,1941-11-15,
24011050,MUSEO EL [24011050],Pluviométrica,Suspendida,Villa De Leiva,2215,-73.53333333,5.65,1979-07-15,
24010830,SAN PEDRO IGUAQUE [24010830],Pluviográfica,Activa,Chíquiza,2985,-73.45044444,5.64,1980-08-15,
24030820,LOS AZULEJOS [24030820],Pluviográfica,Activa,Tuta,2780,-73.21011111,5.663722222,1976-06-15,
24030380,SOTAQUIRA [24030380],Pluviométrica,Activa,Sotaquirá,2860,-73.23492306,5.749661111,1960-09-15,
24030800,CASA AMARILLA [24030800],Pluviométrica,Activa,Toca,3200,-73.1635,5.533805556,1974-03-15,
24010800,MINAS LAS [24010800],Pluviométrica,Suspendida,Samacá,2800,-73.53333333,5.483333333,1979-07-15,
35070120,MACANAL [35070120],Pluviométrica,Suspendida,Macanal,1710,-73.31666667,4.966666667,1957-07-15,
35190110,CUSIANA-TOQUILLA  [35190110],Pluviométrica,Suspendida,Aquitania,3000,-72.75,5.466666667,1947-08-15,
23120250,BORBUR 2 [23120250],Pluviométrica,Activa,San Pablo De Borbur,681,-74.06872222,5.649638889,1975-02-15,
24030900,COL ORTIZ  [24030900],Pluviométrica,Suspendida,Tunja,2690,-73.33333333,5.55,1946-11-15,
35190050,PAJARITO [35190050],Pluviométrica,Activa,Pajarito,842,-72.70194444,5.302944444,1957-11-15,
24030530,SAN ANTONIO [24030530],Pluviométrica,Activa,Tuta,2580,-73.23422222,5.698722222,1971-04-15,
24031030,IZA [24031030],Pluviométrica,Suspendida,Iza,2470,-72.97627778,5.6155,1928-06-15,
23120150,MARIPI [23120150],Pluviométrica,Suspendida,Maripí,1390,-74.01666667,5.55,1963-11-15,
35165000,EL TUNEL [35165000],Climatológica Ordinaria,Activa,Cuítiva,30,-72.941,5.574972222,2016-12-31,
24011120,JASSA LA [24011120],Pluviométrica,Suspendida,Samacá,2590,-73.48333333,5.533333333,1992-05-15,
24011040,SABOYA  [24011040],Pluviométrica,Suspendida,Saboyá,2500,-73.8,5.7,1946-01-15,
35070430,GARAGOA  [35070430],Pluviométrica,Suspendida,Garagoa,1850,-73.33333333,5.083333333,1935-08-15,
24030780,HOTEL EL [24030780],Pluviométrica,Suspendida,Toca,2690,-73.21666667,5.6,1974-03-15,
24030510,CEREZO EL [24030510],Pluviométrica,Activa,Paipa,2900,-73.07175,5.699305556,1970-01-15,
35085010,MIRAFLORES [35085010],Climatológica Ordinaria,Suspendida,Miraflores,1750,-73.15,5.2,1975-12-15,
24035420,CERINZA [240354200],Climatológica Ordinaria,Activa,Cerinza,2643,-72.9385,5.96225,2009-05-18,
35090020,PUEBLO VIEJO  [35090020],Pluviométrica,Suspendida,Aquitania,3150,-72.88333333,5.516666667,1928-06-15,
35070060,QUINCHOS LOS [35070060],Pluviométrica,Activa,Chinavita,2150,-73.34791667,5.219555556,1971-04-15,
2403000114,LAS MERCEDES - AUT [2403000114],Pluviométrica,Activa,Chiscas,2653,-72.479,6.5774,2019-07-22,
35070100,SOMONDOCO [35070100],Pluviométrica,Activa,Somondoco,1600,-73.43305556,4.983472222,1962-03-15,
2403500368,ESTACIÓN COMPUERTA LAGO SOCHAGOTA - AUT [2403500368],Climatológica Ordinaria,Activa,Paipa,2487,-73.114734722,5.768530556,2017-03-31,
24030260,COCUY EL [24030260],Pluviométrica,Activa,El Cocuy,2749,-72.44544444,6.408222222,1958-03-15,
24030840,LA RUSIA ANTENA TV [24030840],Pluviométrica,Activa,Duitama,3650,-73.08238889,5.891638889,1980-08-15,
24010600,CHIQUINQUIRA  [24010600],Pluviométrica,Suspendida,Chiquinquirá,1200,-73.81666667,5.616666667,1961-02-15,
35070460,VOLADOR EL [35070460],Pluviométrica,Suspendida,Macanal,1250,-73.35,4.983333333,1968-06-15,
24035060,COL PRESENTACION  [24035060],Climatológica Ordinaria,Suspendida,Duitama,2530,-73.05,5.833333333,1931-06-15,
